organisationid,address1,address2,adress3,city,county,postcode,latitude,longitude
17970,,Rodney Road,,Walton-on-Thames,Surrey,KT12 3LD,51.37999725341797,-0.406042069
17981,,Heathside Road,,Woking,Surrey,GU22 7HS,51.31513214111328,-0.556289494
18102,North Somerset Community Hospital,Old Street,,Clevedon,Avon,BS21 6BS,51.43719482421875,-2.847192764
18138,120 Princess Road,,,Manchester,Greater Manchester,M15 5AT,53.45974349975586,-2.245468855
18142,Old North Road,Bassingbourn,,Royston,,SG8 5JP,52.07812118530274,-0.030604055
18143,Stockton Hall,The Village,Stockton On The Forest,York,North Yorkshire,YO32 9UN,53.99540328979492,-1.002552629
18271,419 Main Road,,,Harwich,Essex,CO12 4EX,51.93469619750977,1.261444091796875
18272,,Tower Road,,Clacton,Essex,CO15 1LH,51.78607940673828,1.148187518119812
18289,The Lane,Wyboston,,Bedford,Bedfordshire,MK44 3AS,52.19832611083984,-0.31028071
18305,1 Stirling Way,Bretton,,Peterborough,Cambridgeshire,PE3 8YA,52.604942321777344,-0.283021808
18314,,Beech Road,Ivybridge,Plymouth,Devon,PL21 9HL,50.38948440551758,-3.959660053
18317,,Mount Gould Road,,Plymouth,,PL4 7QD,50.37840270996094,-4.112740517
18351,,67 Landsdowne Road,,Bournemouth,Dorset,BH1 1RW,50.72975540161133,-1.869780898
18352,,Shenfield Road,,Brentwood,Essex,CM15 8EH,51.62333297729492,0.312835306
18353,,Warren Road,Woodingdean,Brighton,,BN2 6DX,50.83451843261719,-0.081910513
18354,3 Clifton Hill,Clifton,,Bristol,Avon,BS8 1BN,51.45360946655274,-2.61598444
18356,Nuffield Health Cambridge Hospital,4 Trumpington Road,,Cambridge,Cambridgeshire,CB2 8AF,52.19035339355469,0.1235585957765579
18357,"Nuffield Health Chester Hospital, The Grosvenor",Wrexham Road,,Chester,Cheshire,CH4 7QP,53.17634582519531,-2.895246744
18358,,Hatherley Lane,,Cheltenham,Gloucestershire,GL51 6SY,51.89192962646485,-2.129905462
18359,,78 Broyle Road,,Chichester,,PO19 6WB,50.84798049926758,-0.780013144
18360,,Rykneld Road,Littleover,Derby,Derbyshire,DE23 4SN,52.89355087280274,-1.530155182
18361,Nuffield Health Wessex Hospital,Winchester Road,Chandlers Ford,Eastleigh,Hampshire,SO53 2DW,50.99697494506836,-1.35935092
18362,Nuffield Health Exeter Hospital,Wonford Road,,Exeter,Devon,EX2 4UG,50.71631622314453,-3.511271715
18363,,Stirling Road,,Guildford,Surrey,GU2 7RF,51.24165344238281,-0.612543583
18365,,Burrell Road,,Haywards Heath,,RH16 1UD,51.00840377807617,-0.106121421
18366,,Venns Lane,,Hereford,Herefordshire,HR1 1DF,52.06393814086914,-2.69995451
18367,,Foxhall Road,,Ipswich,Suffolk,IP4 5SW,52.04751968383789,1.2289458513259888
18368,,The Chase,Old Milverton Lane,Leamington Spa,Warwickshire,CV32 6RW,52.30849838256836,-1.543865085
18369,Nuffield Health Leeds Hospital,2 Leighton Street,,Leeds,West Yorkshire,LS1 3EB,53.80065918,-1.554257393
18370,,Scraptoft Lane,,Leicester,Leicestershire,LE5 1HY,52.64425659179688,-1.0712955
18371,,Clayton Road,Jesmond,Newcastle Upon Tyne,,NE2 1JP,54.98661422729492,-1.605277061
18372,,Clayton Road,,Newcastle Under Lyme,Staffordshire,ST5 4DB,52.98740768432617,-2.223027706
18373,,Derriford Road,,Plymouth,Devon,PL6 8BG,50.41867446899414,-4.114448071
18374,,Longden Road,,Shrewsbury,Shropshire,SY3 9DP,52.69225692749024,-2.771440506
18375,Nuffield Health Tees Hospital,Junction Road,Norton,Stockton-on-Tees,Cleveland,TS20 1PX,54.59342575073242,-1.335218549
18376,,Staplegrove Elm,,Taunton,Somerset,TA2 6AN,51.02984619140625,-3.126897812
18377,,Kingswood Road,,Tunbridge Wells,Kent,TN2 4UL,51.13151931762695,0.2780530154705048
18378,,Shores Road,,Woking,Surrey,GU21 4BY,51.33221054077149,-0.561365902
18379,,Wood Road,Tettenhall,Wolverhampton,,WV6 8LE,52.59346389770508,-2.171522379
18380,,Beech Road,Headington,Oxford,Oxfordshire,OX3 7RP,51.76044464111328,-1.215518713
18381,,Haxby Road,,York,North Yorkshire,YO31 8TA,53.97470092773438,-1.075559855
18385,,139 Bath Road,,Worcester,Worcestershire,WR5 3YB,52.18108749389648,-2.2162323
18386,,Redland Hill,,Bristol,,BS6 6UT,51.47204971313477,-2.61485076
18388,Chalybeate Hospital,Chalybeate Close,,Southampton,Hampshire,SO16 6UY,50.93061065673828,-1.432714343
18389,Bartons Road,,,Havant,Hampshire,PO9 5NP,50.86859130859375,-0.955126107
