organisationid,organisationcode,organisationtype,subtype,sector,organisationstatus,ispimsmanaged,organisationname,parentodscode,parentname,phone,email,website,fax
17970,NDA07,Hospital,Hospital,Independent Sector,Visible,TRUE,Walton Community Hospital - Virgin Care Services Ltd,NDA,Virgin Care Services Ltd,01932 414205,,,"01932 253674,,,"
17981,NDA18,Hospital,Hospital,Independent Sector,Visible,TRUE,Woking Community Hospital (Virgin Care),NDA,Virgin Care Services Ltd,01483 715911,,,",,,"
18102,NLT02,Hospital,Hospital,NHS Sector,Visible,TRUE,North Somerset Community Hospital,NLT,North Somerset Community Partnership Community Interest Company,01275 872212,,http://www.nscphealth.co.uk,",,,"
18138,NMP01,Hospital,Hospital,Independent Sector,Visible,FALSE,Bridgewater Hospital,NMP,Bridgewater Hospital (Manchester) Ltd,0161 2270000,,www.bridgewaterhospital.com,",,,"
18142,NMV01,Hospital,Hospital,Independent Sector,Visible,TRUE,Kneesworth House,NMV,Partnerships In Care Ltd,01763 255 700,reception_kneesworthhouse@partnershipsincare.co.uk,www.partnershipsincare.co.uk,",,,"
18143,NMV02,Hospital,Hospital,Independent Sector,Visible,TRUE,Stockton Hall Hospital,NMV,Partnerships In Care Ltd,01904 400 500,info@priorygroup.com,https://www.priorygroup.com/stockton-hall,",,,"
18271,NQ106,Hospital,Hospital,Independent Sector,Visible,TRUE,"Fryatt Hospital, Harwich",NQ1,Anglian Community Enterprise Community Interest Company (ACE CIC),01255 201200,,,",,"
18272,NQ108,Hospital,Hospital,Independent Sector,Visible,TRUE,Clacton Hospital,NQ1,Anglian Community Enterprise Community Interest Company (ACE CIC),01255 201717,,https://www.esneft.nhs.uk/your-visit/our-wards/clacton-hospital/,"01206 286710,,,"
18289,NQ901,Hospital,Hospital,Independent Sector,Visible,FALSE,Lakeside Hospital,NQ9,Brookdale Healthcare Ltd (T/A Brookdale Care),,,,",,,"
18305,NQM01,Hospital,Hospital,Independent Sector,Visible,TRUE,Orthopaedics and Spine Specialist Hospital,NQM,Orthopaedics and Spine Specialist Hospital,01733 333156,info@orthospine.co.uk,,"01733 373050,,,"
18314,NR510,Hospital,Hospital,Independent Sector,Visible,TRUE,Lee Mill Hospital,NR5,Livewell Southwest,01752 314800,,,"01752 314804,,,"
18317,NR527,Hospital,Hospital,Independent Sector,Visible,TRUE,Mount Gould Hospital,NR5,Livewell Southwest,01752 268011,,https://www.livewellsouthwest.co.uk/,",,,"
18351,NT202,Hospital,Hospital,Independent Sector,Visible,TRUE,"Nuffield Health, Bournemouth Hospital",NT2,Nuffield Health,0800 015 5020,nuffieldhealth.ereferrals@nhs.net,http://www.nuffieldhealth.com/individuals/centres/b/bournemouth/,",,"
18352,NT204,Hospital,Hospital,Independent Sector,Visible,TRUE,"Nuffield Health, Brentwood Hospital",NT2,Nuffield Health,0800 015 5020,nuffieldhealth.ereferrals@nhs.net,http://www.nuffieldhealth.com/brentwoodhospital,",,"
18353,NT205,Hospital,Hospital,Independent Sector,Visible,TRUE,"Nuffield Health, Brighton Hospital",NT2,Nuffield Health,0800 015 5020,nuffieldhealth.ereferrals@nhs.net,http://www.nuffieldhealth.com/brightonhospital,",,"
18354,NT206,Hospital,Hospital,Independent Sector,Visible,TRUE,"Nuffield Health, Bristol Hospital (Chesterfield)",NT2,Nuffield Health,0800 015 5020,nuffieldhealth.ereferrals@nhs.net,http://www.nuffieldhealth.com/hospitals/bristol,",,"
